order_id,customer_id,product_name,price,quantity,date,city
1,2006,Keyboard,49,5,2023-04-05,Екатеринбург
2,2273,Laptop,1082,2,2024-10-26,Москва
3,1309,Headphones,167,3,2024-09-06,Москва
4,476,Phone,861,2,2023-11-19,Санкт-Петербург
5,14,Keyboard,96,1,2024-03-21,Санкт-Петербург
6,2690,Tablet,667,2,2024-09-29,Казань
7,2656,Tablet,687,4,2024-07-29,Казань
8,2477,Keyboard,66,3,2024-07-11,Санкт-Петербург
9,411,Phone,746,2,2024-10-26,Екатеринбург
10,178,Headphones,194,2,2023-01-07,Самара
11,2438,Laptop,1091,3,2023-02-27,Санкт-Петербург
12,1236,Laptop,1328,4,2024-04-03,Екатеринбург
13,1731,Headphones,160,3,2023-11-03,Казань
14,641,Tablet,413,3,2023-06-04,Новосибирск
15,2299,Tablet,521,3,2023-06-03,Самара
16,667,Laptop,859,1,2024-05-17,Казань
17,557,Laptop,1279,2,2023-05-22,Санкт-Петербург
18,768,Phone,777,2,2024-03-27,Москва
19,1610,Keyboard,59,4,2023-03-02,Екатеринбург
20,1866,Keyboard,120,5,2024-12-05,Самара
21,987,Keyboard,126,1,2024-10-23,Новосибирск
22,1365,Headphones,99,2,2024-08-16,Казань
23,1231,Monitor,270,1,2023-09-23,Новосибирск
24,182,Monitor,316,4,2024-12-15,Москва
25,506,Tablet,519,3,2024-11-29,Казань
26,687,Phone,904,2,2023-05-25,Санкт-Петербург
27,2410,Tablet,714,2,2024-08-26,Екатеринбург
28,171,Laptop,1200,3,2023-11-06,Новосибирск
29,2596,Keyboard,130,4,2024-09-24,Самара
30,2691,Laptop,874,5,2024-01-10,Москва
31,2639,Headphones,118,4,2023-08-01,Москва
32,1808,Monitor,398,3,2023-10-31,Москва
33,178,Keyboard,76,2,2024-11-25,Санкт-Петербург
34,1522,Phone,871,5,2024-04-28,Казань
35,2279,Phone,784,4,2024-06-01,Москва
36,2506,Phone,573,5,2023-12-07,Казань
37,2292,Headphones,149,3,2023-06-18,Казань
38,2312,Headphones,172,4,2024-03-30,Самара
39,1414,Headphones,187,3,2024-12-16,Новосибирск
40,231,Monitor,267,5,2024-01-27,Самара
41,1599,Monitor,282,1,2024-10-16,Новосибирск
42,2552,Monitor,448,3,2023-09-09,Екатеринбург
43,2521,Monitor,327,5,2024-12-27,Москва
44,1719,Tablet,562,3,2024-04-06,Казань
45,472,Phone,740,3,2023-09-14,Казань
46,1387,Monitor,435,4,2023-01-30,Самара
47,172,Headphones,196,3,2023-12-24,Москва
48,831,Keyboard,52,2,2023-02-17,Новосибирск
49,342,Laptop,1489,3,2023-11-09,Новосибирск
50,2004,Tablet,622,4,2024-07-17,Екатеринбург
51,201,Phone,744,1,2024-09-21,Москва
52,2048,Phone,831,3,2024-12-24,Екатеринбург
53,1875,Headphones,122,5,2024-02-13,Москва
54,1869,Phone,726,1,2023-10-16,Казань
55,318,Keyboard,104,5,2023-08-29,Казань
56,2079,Tablet,454,4,2023-02-09,Самара
57,2860,Monitor,340,4,2024-07-03,Самара
58,1141,Headphones,96,3,2023-11-26,Новосибирск
59,677,Tablet,555,3,2023-07-22,Санкт-Петербург
60,2625,Laptop,1478,3,2023-09-09,Новосибирск
61,1850,Headphones,85,4,2024-02-15,Санкт-Петербург
62,1860,Phone,697,3,2024-03-29,Санкт-Петербург
63,2106,Keyboard,67,2,2023-09-11,Новосибирск
64,977,Monitor,275,4,2023-10-17,Москва
65,222,Laptop,1122,5,2024-06-05,Москва
66,1867,Keyboard,118,3,2023-01-01,Казань
67,319,Tablet,856,3,2024-07-03,Самара
68,1363,Phone,938,4,2023-10-04,Москва
69,568,Monitor,200,2,2024-03-26,Санкт-Петербург
70,2593,Keyboard,98,1,2024-12-18,Екатеринбург
71,1820,Laptop,1165,3,2023-11-27,Новосибирск
72,2019,Monitor,318,4,2023-09-15,Москва
73,1143,Keyboard,38,4,2023-08-13,Новосибирск
74,902,Keyboard,139,3,2023-01-21,Москва
75,719,Laptop,1427,5,2024-12-14,Санкт-Петербург
76,441,Phone,705,3,2023-03-24,Казань
77,2597,Keyboard,143,3,2023-09-23,Санкт-Петербург
78,1944,Tablet,722,3,2023-04-02,Санкт-Петербург
79,1472,Phone,822,4,2024-03-11,Екатеринбург
80,1992,Tablet,683,1,2024-04-18,Самара
81,2773,Laptop,1412,2,2024-09-17,Самара
82,2163,Monitor,309,2,2024-01-16,Новосибирск
83,639,Monitor,264,5,2023-03-13,Самара
84,565,Phone,941,2,2024-01-07,Санкт-Петербург
85,50,Monitor,223,4,2023-08-23,Екатеринбург
86,1050,Phone,592,2,2023-05-09,Самара
87,11,Monitor,339,2,2024-02-22,Новосибирск
88,1781,Laptop,864,2,2023-10-15,Новосибирск
89,2024,Phone,659,5,2024-02-22,Казань
90,2828,Phone,777,1,2023-02-21,Санкт-Петербург
91,2911,Laptop,1132,3,2024-02-13,Казань
92,294,Phone,519,2,2024-01-21,Казань
93,719,Headphones,124,5,2024-11-23,Новосибирск
